title,price,rating,reviews,availability,colore,Dimensione prodotto,peso_articolo,link
"SIGILL, Detergente Condizionatori Spray, Igienizzate che Elimina gli Odori in Aerosol, Ideato per gli Impianti di Aria Condizionata di Case e Autovetture, Made in Italy, Bombola 400 ml","4,97€",4.2,70.0,Disponibilità immediata,['rosa'],,330.0,https://www.amazon.it/SIGILL-DETERGENTE-CONDIZIONATORI-SPRAY/dp/B089DP9DLF/ref=sr_1_160?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-160
"Citrosil Home Protection - Sgrassatore Disinfettante Universale con Vere Essenze di Limone, 650 ml x 3 Confezioni","8,97€",4.6,347.0,Disponibilità immediata,[],"‎9,9 x 6,1 x 30 cm; 720 grammi",,https://www.amazon.it/Citrosil-Home-Protection-Sgrassatore-Disinfettante/dp/B091BYZR1H/ref=sr_1_161_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&rdc=1&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-161-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"Smac Express - Sgrassatore Disinfettante, Detergente Spray Multisuperficie con Azione Sgrassante e Antibatterica, 650 ml x 2 Pezzi","3,10€",4.7,625.0,Generalmente  spedito entro 1-4 settimane,['bianco'],"‎19,8 x 6,1 x 30 cm; 1,43 Kg",,https://www.amazon.it/Smac-Express-Disinfettante-Multisuperficie-Antibatterica/dp/B08SXYZKZB/ref=sr_1_162_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-162-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"QUARISS Detergente Naturale per Rubinetterie e Ceramiche Nere - Detergente per Bagno Doccia Anticalcare Forte per Rubinetto Lavandino Bagno Soffione Doccia Piastrelle 0,5 L","16,99€",3.8,125.0,Disponibilità: solo 2,[],,,https://www.amazon.it/QUARISS-Detergente-Naturale-Rubinetterie-Ceramiche/dp/B09MM4DHXB/ref=sr_1_163_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-163-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
"Ma-Fra, Killer, Detergente Spray per Auto, Elimina Macchie e Tracce di Insetti e Moscerini in modo Facile e Veloce Senza Strofinare, Formato da 500ml","8,90€",4.4,2059.0,Disponibilità immediata,['rosso'],"‎24,4 x 8,8 x 5,5 cm; 480 grammi",,https://www.amazon.it/Ma-Fra-HN070-Killer-Elimina-Insetti/dp/B00GMHM6ZW/ref=sr_1_164?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-164
6 PZ SPLENDEO PERFETTO SPRAY 750ML SGRASSATORE [TOTALE 4500ML],"29,60€",5.0,1.0,Disponibilità: solo 3,[],,,https://www.amazon.it/SPLENDEO-PERFETTO-SGRASSATORE-TOTALE-4500ML/dp/B08Z9FGYL4/ref=sr_1_165?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-165
ACE SPRAY SGRASSATORE CUCINA SENZA CANDEGGINA LIMONE E BERGAMOTTO 6 CONFEZIONI DA 500 ML [TOTALE 3000 ML],"€3,18",5.0,1.0,Not Available,[],,,https://www.amazon.it/ACE-SGRASSATORE-CANDEGGINA-BERGAMOTTO-CONFEZIONI/dp/B08XJRHRH9/ref=sr_1_166?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-166
"Muc Off Disc - Detergente per freni a disco, 400 ml","19,90€",4.6,608.0,Generalmente  spedito entro 4-5 giorni,"['blu', 'marrone']","‎15 x 10 x 20 cm; 0,4 grammi",,https://www.amazon.it/Muc-off-Detergente-Brake-Cleaner-Ruote/dp/B01BKE0RDY/ref=sr_1_167?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-167
"Chanteclair - Sgrassatore Universale Disinfettante Spray, Fragranza Floral, Presidio Medico Chirurgico - 12 Flaconi da 750 ml","€39,98",3.6,6.0,Not Available,[],,,https://www.amazon.it/Chanteclair-Sgrassatore-Universale-Disinfettante-Floral/dp/B09BK5FLKQ/ref=sr_1_168?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-168
"6x Sgrassatore Spray 750 ml per Per tutti i tipi di superfici e vestiti,Detergente Professionale Pistola anche per Acciaio Inox, piano induzione. Destello R-7 Confezione 6 pezzi 4500ml","13,99€",5.0,1.0,Disponibilità: solo 4,[],,,https://www.amazon.it/Sgrassatore-Detergente-Professionale-induzione-Confezione/dp/B08W8W3JSS/ref=sr_1_169?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-169
